,phrase,count,count_no_rt,date,freq,freq_no_rt,odds,odds_no_rt,rank,rank_no_rt
174,in the open,5.0,5.0,2009-03-15,5.960441029721024e-07,6.060262278454992e-07,1677728.2,1650093.5999999999,136445.0,133050.0
175,in the open,4.0,4.0,2009-03-16,4.816152411959228e-07,4.899978574843682e-07,2076346.2500000002,2040825.2499999998,79486.5,77085.0
176,in the open,4.0,4.0,2009-03-17,4.6936600621393653e-07,4.770709560752422e-07,2130533.5,2096124.25,111675.5,108709.0
177,in the open,5.0,5.0,2009-03-19,5.761535573679554e-07,5.889316191497005e-07,1735648.4,1697990.0,83446.0,80732.5
178,in the open,8.0,8.0,2009-03-21,9.598661946524656e-07,9.735612407745946e-07,1041811.8749999999,1027156.75,71650.0,70340.0
179,in the open,5.0,5.0,2009-03-22,6.08972008966991e-07,6.184796014913275e-07,1642111.6,1616868.2,132609.5,129679.5
180,in the open,10.0,10.0,2009-03-23,1.1785056595377286e-06,1.2021059935321888e-06,848532.2000000002,831873.4,53512.0,52150.0
181,in the open,12.0,12.0,2009-03-24,1.3963802101272939e-06,1.4269095885113804e-06,716137.3333333334,700815.2499999999,42115.0,40963.5
182,in the open,8.0,8.0,2009-03-25,9.32021280375884e-07,9.520674501705748e-07,1072936.8750000002,1050345.75,71573.5,69586.0
183,in the open,7.0,5.0,2009-03-27,8.344047487643063e-07,6.080935549501917e-07,1198459.1428571427,1644483.8,82786.0,126182.5
184,in the open,4.0,4.0,2009-03-28,4.759916929929739e-07,4.836956475735469e-07,2100877.0,2067415.7499999998,180243.0,175963.0
185,in the open,7.0,7.0,2009-03-29,8.418003415544756e-07,8.555362299427171e-07,1187930.142857143,1168857.5714285711,85222.5,83486.0
186,in the open,11.0,11.0,2009-03-30,1.2812968401356217e-06,1.310271444170465e-06,780459.2727272727,763200.6363636365,47600.0,46337.0
187,in the open,6.0,6.0,2009-03-31,7.226694542436415e-07,7.386718212827849e-07,1383758.5,1353781.1666666667,59996.5,58356.5
188,in the open,12.0,12.0,2009-04-02,1.3801296976883402e-06,1.4086234755319169e-06,724569.5833333334,709912.9166666666,42279.0,41318.0
189,in the open,2.0,2.0,2009-04-03,2.3352618704279948e-07,2.3884044872865826e-07,4282175.000000001,4186895.5,545343.0,525366.5
190,in the open,12.0,12.0,2009-04-04,1.4124902273332397e-06,1.4353927910507087e-06,707969.5,696673.4166666666,42806.5,41983.0
191,in the open,11.0,11.0,2009-04-05,1.308234108731618e-06,1.3306980672699328e-06,764389.181818182,751485.2727272726,47610.5,46662.0
192,in the open,8.0,8.0,2009-04-06,9.019386381831438e-07,9.222906702805088e-07,1108722.875,1084256.8750000002,75857.0,73725.0
193,in the open,5.0,5.0,2009-04-07,5.705081950079163e-07,5.829454414366015e-07,1752823.2000000002,1715426.4,137887.5,133801.5
194,in the open,5.0,5.0,2009-04-08,5.724373040904881e-07,5.84276101775288e-07,1746916.2,1711519.5999999999,136559.0,132870.5
195,in the open,6.0,6.0,2009-04-09,6.950983517827882e-07,7.110927385816877e-07,1438645.3333333335,1406286.3333333333,109375.5,105959.5
